ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
1121374,1178,144586,35-39,M,29,327158,43,72.3100003,6,2
1121375,1178,144586,35-39,M,29,9921,0,0,1,0
1121377,1178,144586,35-39,M,29,59390,5,9.209999919,5,3
1121378,1178,144586,35-39,M,29,1040330,147,254.2500038,13,2
1121379,1178,144587,35-39,M,30,49422,6,11.17000031,1,0
1121380,1178,144587,35-39,M,30,131091,18,34.23000026,3,1
1121381,1178,144587,35-39,M,30,95691,15,25.26000011,1,1
1121390,1178,144588,35-39,M,31,15513,1,1.289999962,1,0
1121391,1178,144589,35-39,M,32,382537,63,113.9900012,4,3
1121394,1178,144589,35-39,M,32,461356,64,121.0999982,6,3
1121395,1178,144589,35-39,M,32,392541,53,98.70000017,3,2
1121398,1178,144590,35-39,M,36,35088,5,8.800000072,1,1
1121400,1178,144590,35-39,M,36,53933,6,9.929999948,3,1
1121403,1178,144591,35-39,M,63,228861,33,53.38999939,4,2
1121405,1178,144591,35-39,M,63,20959,2,3.769999981,1,1
1121410,1178,144592,35-39,M,64,24992,2,3.190000057,1,0
1121411,1178,144592,35-39,M,64,100351,15,24.17999995,2,1
1121412,1178,144592,35-39,M,64,292448,43,76.89999968,2,1
1121413,1178,144592,35-39,M,64,65060,7,14.5200001,1,1
1121414,1178,144592,35-39,M,64,133316,21,36.17000055,2,0
1121415,1178,144593,35-39,M,65,113501,26,38.44000077,5,4
1121418,1178,144593,35-39,M,65,192810,41,61.92999995,4,3
1121421,1178,144594,35-39,M,2,233404,43,70.4100008,2,1
1121422,1178,144594,35-39,M,2,128843,24,37.5999999,2,0
1121423,1178,144594,35-39,M,2,63564,12,20.59000027,2,0
1121425,1178,144594,35-39,M,2,85970,14,24.78000021,1,1
1121428,1178,144595,35-39,M,7,131232,16,29.53999937,1,1
1121429,1178,144595,35-39,M,7,152454,22,37.84999979,1,1
1121430,1178,144595,35-39,M,7,28989,2,2.290000021,1,0
1121433,1178,144596,35-39,M,66,80248,15,24.1900003,1,1
1121437,1178,144596,35-39,M,66,38580,5,8.519999981,1,0
1121439,1178,144597,40-44,M,10,621591,91,163.36,5,1
1121440,1178,144597,40-44,M,10,250499,36,58.14000005,3,1
1121442,1178,144597,40-44,M,10,131637,18,29.30999982,2,1
1121443,1178,144597,40-44,M,10,463813,69,116.3399996,4,2
1121444,1178,144597,40-44,M,10,211767,35,60.89999914,5,1
1121446,1178,144598,40-44,M,15,163181,26,40.02000093,1,1
1121451,1178,144599,40-44,M,16,1117385,147,260.0699984,11,2
1121452,1178,144599,40-44,M,16,1663441,205,359.4700001,17,6
1121453,1178,144599,40-44,M,16,455248,54,105.7099996,5,2
1121454,1178,144599,40-44,M,16,75589,6,10.66000009,1,1
1121455,1178,144599,40-44,M,16,594267,82,143.3000009,3,2
1121456,1178,144599,40-44,M,16,315281,35,65.02999854,1,0
1121464,1178,144601,40-44,M,19,363456,71,117.5599997,7,1
1121466,1178,144601,40-44,M,19,438983,81,143.4300001,3,1
1121467,1178,144601,40-44,M,19,42563,5,9.659999847,1,1
1121469,1178,144602,40-44,M,20,399035,75,124.7999995,7,3
1121471,1178,144602,40-44,M,20,304680,59,98.55000019,3,0
1121472,1178,144602,40-44,M,20,140596,23,40.77000022,1,0
1121473,1178,144602,40-44,M,20,439986,80,134.8799999,4,3
1121474,1178,144602,40-44,M,20,75803,11,19.3599999,2,2
1121477,1178,144603,40-44,M,21,7073,0,0,1,0
1121481,1178,144604,40-44,M,22,153586,28,43.01000035,2,0
1121482,1178,144604,40-44,M,22,180815,31,42.62999976,1,0
1121483,1178,144604,40-44,M,22,253169,51,75.78999984,1,0
1121484,1178,144604,40-44,M,22,34453,5,7.710000038,1,1
1121487,1178,144605,40-44,M,23,51550,8,14.03999984,1,0
1121489,1178,144605,40-44,M,23,110018,24,39.85999966,1,0
1121493,1178,144606,40-44,M,24,137584,21,36.77999961,1,0
1121497,1178,144606,40-44,M,24,209825,30,54.86999953,1,0
1121499,1178,144607,40-44,M,25,264222,63,87.7899996,1,1
1121510,1178,144608,40-44,M,26,31202,5,6.730000019,1,0
1121511,1178,144609,40-44,M,27,252991,49,76.83999932,3,0
1121514,1178,144609,40-44,M,27,56265,9,15.53999972,1,0
1121523,1178,144611,40-44,M,29,76923,11,17.67000008,2,2
1121524,1178,144611,40-44,M,29,209332,30,49.60000014,3,1
1121525,1178,144611,40-44,M,29,214094,31,53.26999903,1,0
1121526,1178,144611,40-44,M,29,526209,85,126.9299996,3,2
1121527,1178,144611,40-44,M,29,741143,120,179.620001,4,1
1121528,1178,144611,40-44,M,29,172827,25,38.42000043,2,0
1121530,1178,144612,40-44,M,30,188873,38,58.5999999,1,1
1121532,1178,144612,40-44,M,30,123126,25,39.72999978,2,1
1121535,1178,144613,40-44,M,31,77794,14,19.11000001,1,1
1121541,1178,144614,40-44,M,32,56630,9,15.81000018,1,1
1121544,1178,144614,40-44,M,32,400844,85,140.9700022,4,2
1121545,1178,144614,40-44,M,32,208572,36,60.76000023,2,1
1121548,1178,144615,40-44,M,36,59004,8,13.51000011,1,0
1121551,1178,144615,40-44,M,36,196253,32,55.10000002,1,0
1121554,1178,144616,40-44,M,63,51858,8,12.63000011,1,1
1121557,1178,144616,40-44,M,63,280764,49,81.36000025,2,1
1121561,1178,144617,40-44,M,64,63660,11,16.47000003,1,1
1121562,1178,144617,40-44,M,64,109289,19,31.02999997,1,0
1121568,1178,144618,40-44,M,65,188440,40,60.72999966,2,1
1121571,1178,144619,40-44,M,2,212496,44,74.83000135,2,1
1121572,1178,144619,40-44,M,2,32574,5,7.480000019,1,0
1121575,1178,144619,40-44,M,2,128595,23,36.4800005,1,1
1121577,1178,144620,40-44,M,7,242234,48,68.06000054,2,0
1121584,1178,144621,40-44,M,66,33154,5,7.879999995,1,1
1121585,1178,144621,40-44,M,66,9773,1,1.460000038,1,0
1121589,1178,144622,45-49,M,10,464036,77,123.5500004,3,1
1121590,1178,144622,45-49,M,10,478480,75,135.7500012,3,1
1121592,1178,144622,45-49,M,10,428812,66,116.8800001,4,2
1121593,1178,144622,45-49,M,10,1177535,221,365.6600009,15,3
1121594,1178,144622,45-49,M,10,426500,72,128.2799988,4,1
1121597,1178,144623,45-49,M,15,54237,7,10.77999985,2,1
1121598,1178,144623,45-49,M,15,506916,89,133.6999986,2,2
1121599,1178,144623,45-49,M,15,250960,42,64.87999952,2,0
1121601,1178,144624,45-49,M,16,2286228,353,603.380002,16,7
1121602,1178,144624,45-49,M,16,915451,125,220.559999,6,1
1121603,1178,144624,45-49,M,16,159478,20,33.89999998,3,1
1121605,1178,144624,45-49,M,16,1228924,190,318.9700032,6,3
1121606,1178,144624,45-49,M,16,938283,134,248.6400001,7,2
1121607,1178,144625,45-49,M,18,154572,26,40.93000007,1,1
1121609,1178,144625,45-49,M,18,378171,70,109.2500008,1,0
1121612,1178,144625,45-49,M,18,468749,84,134.1199975,6,1
1121613,1178,144626,45-49,M,19,309823,60,103.3899996,4,4
1121615,1178,144626,45-49,M,19,327227,65,116.5599996,5,0
1121616,1178,144626,45-49,M,19,334945,72,120.2999994,2,1
1121617,1178,144626,45-49,M,19,68859,15,25.45999968,1,0
1121619,1178,144627,45-49,M,20,127125,20,35.67999983,2,0
1121620,1178,144627,45-49,M,20,415798,80,131.7800006,3,1
1121622,1178,144627,45-49,M,20,107671,20,29.91000021,1,1
1121623,1178,144627,45-49,M,20,164356,28,46.7900002,2,1
1121624,1178,144627,45-49,M,20,17662,2,3.189999938,1,0
1121627,1178,144628,45-49,M,21,65339,10,16.67999983,2,0
1121628,1178,144628,45-49,M,21,59838,7,11.11000013,1,0
1121629,1178,144628,45-49,M,21,381577,81,127.5699993,2,0
1121635,1178,144629,45-49,M,22,45491,8,11.00999999,1,0
1121638,1178,144630,45-49,M,23,18946,2,3.599999905,1,0
1121641,1178,144630,45-49,M,23,114370,18,33.65999997,1,0
1121642,1178,144630,45-49,M,23,99698,21,33.3499999,1,0
1121644,1178,144631,45-49,M,24,355165,81,128.6099997,4,3
1121650,1178,144632,45-49,M,25,101431,23,33.93000031,1,1
1121652,1178,144632,45-49,M,25,123151,24,36.4400003,2,1
1121660,1178,144633,45-49,M,26,24078,4,5.769999981,1,0
1121661,1178,144634,45-49,M,27,517801,105,181.7200011,3,0
1121662,1178,144634,45-49,M,27,145104,25,41.42000008,2,1
1121664,1178,144634,45-49,M,27,179950,35,58.67999971,1,0
1121665,1178,144634,45-49,M,27,258531,46,80.33999979,2,0
1121666,1178,144634,45-49,M,27,272500,62,104.4599996,3,0
1121667,1178,144635,45-49,M,28,273197,57,87.7300005,3,0
1121668,1178,144635,45-49,M,28,775904,172,253.990002,4,2
1121669,1178,144635,45-49,M,28,120251,26,39.44000006,1,0
1121671,1178,144635,45-49,M,28,139406,24,39.04999948,1,0
1121672,1178,144635,45-49,M,28,60314,11,16.93999958,2,1
1121673,1178,144636,45-49,M,29,563074,86,142.7099985,4,2
1121674,1178,144636,45-49,M,29,168655,18,27.29999983,2,0
1121675,1178,144636,45-49,M,29,111963,17,29.3799994,2,1
1121676,1178,144636,45-49,M,29,1026304,168,277.5799986,17,8
1121677,1178,144636,45-49,M,29,1391924,258,422.8400038,17,10
1121678,1178,144636,45-49,M,29,147551,22,38.50000083,1,0
1121685,1178,144638,45-49,M,31,66794,9,17.3299998,1,1
1121687,1178,144638,45-49,M,31,118882,19,32.30999994,2,1
1121689,1178,144638,45-49,M,31,148010,24,41.96999943,1,0
1121691,1178,144639,45-49,M,32,932890,197,352.4499989,3,1
1121692,1178,144639,45-49,M,32,718359,147,264.5899997,4,1
1121693,1178,144639,45-49,M,32,433658,82,158.5999998,5,2
1121695,1178,144639,45-49,M,32,29455,3,4.769999981,1,0
1121701,1178,144640,45-49,M,36,23973,3,4.820000052,1,1
1121705,1178,144641,45-49,M,63,126480,25,37.25999999,1,1
1121706,1178,144641,45-49,M,63,138959,28,39.5200007,1,0
1121708,1178,144641,45-49,M,63,68829,12,19.47999978,1,0
1121711,1178,144642,45-49,M,64,49916,10,16.38,1,1
1121716,1178,144643,45-49,M,65,76014,16,22.67000031,1,1
1121723,1178,144644,45-49,M,2,50947,10,15.99000025,1,0
1121733,1178,144646,45-49,M,66,55536,11,17.04999995,1,0
1121741,1178,144647,30-34,F,10,318042,46,64.40999997,8,4
1121742,1178,144647,30-34,F,10,213016,30,44.21999955,8,2
1121745,1178,144648,30-34,F,15,182265,27,38.18000007,2,1
1121746,1178,144648,30-34,F,15,1117371,177,268.050002,26,5
1121749,1178,144648,30-34,F,15,333345,52,77.59000027,5,1
1121751,1178,144649,30-34,F,16,275930,30,46.77999997,5,2
1121753,1178,144649,30-34,F,16,740631,101,153.1199975,9,1
1121754,1178,144649,30-34,F,16,328272,35,55.99000025,2,1
1121755,1178,144649,30-34,F,16,178455,20,31.5400002,6,3
1121756,1178,144649,30-34,F,16,705712,98,147.339999,6,1
1121758,1178,144650,30-34,F,18,690373,91,159.5700021,5,2
1121759,1178,144650,30-34,F,18,515812,69,117.6299995,3,1
1121760,1178,144650,30-34,F,18,764793,101,171.9799976,4,2
1121763,1178,144651,30-34,F,19,87832,11,18.10000038,1,1
1121764,1178,144651,30-34,F,19,23368,3,4.300000191,1,0
1121765,1178,144651,30-34,F,19,51509,7,11.57000005,1,0
1121767,1178,144651,30-34,F,19,87043,16,24.48000002,2,0
1121768,1178,144651,30-34,F,19,565565,113,169.6699982,7,4
1121769,1178,144652,30-34,F,20,253758,43,62.14000034,4,1
1121773,1178,144652,30-34,F,20,319131,51,76.68000025,6,1
1121774,1178,144652,30-34,F,20,670608,130,195.1499978,11,3
1121775,1178,144653,30-34,F,21,159123,25,38.36000013,5,3
1121776,1178,144653,30-34,F,21,103709,15,24.56999969,3,1
1121779,1178,144653,30-34,F,21,271589,45,74.41000032,9,3
1121780,1178,144653,30-34,F,21,119772,20,33.46999907,5,2
1121782,1178,144654,30-34,F,22,26340,3,4.220000029,1,1
1121783,1178,144654,30-34,F,22,594968,111,147.6700006,4,0
1121791,1178,144655,30-34,F,23,6838,0,0,1,0
1121793,1178,144656,30-34,F,24,185665,39,62.14000058,1,0
1121795,1178,144656,30-34,F,24,24959,3,4.560000062,1,1
1121796,1178,144656,30-34,F,24,136967,23,35.05999982,3,1
1121798,1178,144656,30-34,F,24,107548,19,29.31000018,1,0
1121803,1178,144657,30-34,F,25,588617,119,169.9199973,2,0
1121806,1178,144658,30-34,F,26,190560,26,41.63,3,1
1121807,1178,144658,30-34,F,26,373110,49,75.70000076,4,2
1121812,1178,144659,30-34,F,27,935646,170,256.4699982,19,6
1121814,1178,144659,30-34,F,27,2223278,421,612.3000032,38,13
1121815,1178,144659,30-34,F,27,240497,36,51.84000087,1,0
1121816,1178,144659,30-34,F,27,259984,37,54.7900002,5,0
1121817,1178,144660,30-34,F,28,606786,127,179.050001,11,3
1121818,1178,144660,30-34,F,28,83270,13,17.74000001,1,0
1121819,1178,144660,30-34,F,28,1189509,268,375.7199963,7,3
1121820,1178,144660,30-34,F,28,11471,1,1.570000052,0,0
1121824,1178,144661,30-34,F,29,1705246,295,429.4799981,23,10
1121826,1178,144661,30-34,F,29,418016,63,95.8500005,3,1
1121827,1178,144661,30-34,F,29,30155,3,3.819999933,1,0
1121828,1178,144661,30-34,F,29,990404,153,226.5399992,12,6
1121829,1178,144662,30-34,F,30,187468,34,50.72000062,2,1
1121832,1178,144662,30-34,F,30,208301,33,54.57000089,1,0
1121833,1178,144662,30-34,F,30,101856,16,25.22000039,4,1
1121835,1178,144663,30-34,F,31,48935,7,9.970000267,1,1
1121839,1178,144663,30-34,F,31,13911,1,1.730000019,1,1
1121841,1178,144664,30-34,F,32,511726,77,123.0900019,8,4
1121843,1178,144664,30-34,F,32,177452,24,37.83000016,2,0
1121844,1178,144664,30-34,F,32,149808,20,33.03999937,1,1
1121845,1178,144664,30-34,F,32,390339,60,105.0199997,9,6
1121846,1178,144664,30-34,F,32,8350,0,0,1,0
1121847,1178,144665,30-34,F,36,39339,4,5.929999948,1,0
1121854,1178,144666,30-34,F,63,8587,0,0,1,0
1121855,1178,144666,30-34,F,63,24893,2,3.75,1,0
1121856,1178,144666,30-34,F,63,1296189,212,343.2599944,14,4
1121857,1178,144666,30-34,F,63,91607,12,19.1899997,2,1
1121859,1178,144667,30-34,F,64,238036,38,61.02999771,6,3
1121860,1178,144667,30-34,F,64,254344,35,56.16999996,2,1
1121861,1178,144667,30-34,F,64,157705,23,39.23000026,2,0
1121862,1178,144667,30-34,F,64,411571,60,99.1799984,6,1
1121863,1178,144667,30-34,F,64,94136,11,16.17999971,1,0
1121867,1178,144668,30-34,F,65,82640,16,23.97000039,1,1
1121869,1178,144668,30-34,F,65,17870,2,2.620000005,1,1
1121871,1178,144669,30-34,F,2,19178,2,2.779999971,1,1
1121873,1178,144669,30-34,F,2,5264,0,0,1,0
1121874,1178,144669,30-34,F,2,145548,28,42.37000036,2,1
1121876,1178,144669,30-34,F,2,82455,15,22.04999971,1,0
1121877,1178,144670,30-34,F,7,44189,7,10.31999981,2,0
1121878,1178,144670,30-34,F,7,45199,7,9.809999943,1,0
1121881,1178,144670,30-34,F,7,221843,43,63.45000076,5,0
1121888,1178,144671,30-34,F,66,41672,6,10.54999995,2,1
1121889,1178,144672,35-39,F,10,127546,25,38.94000041,2,0
1121890,1178,144672,35-39,F,10,127865,28,38.02999961,3,1
1121891,1178,144672,35-39,F,10,1025327,229,314.2999983,16,2
1121894,1178,144672,35-39,F,10,561415,124,173.76,3,0
1121895,1178,144673,35-39,F,15,132803,25,37.32000124,2,1
1121897,1178,144673,35-39,F,15,24664,2,2.629999995,1,1
1121901,1178,144674,35-39,F,16,1020561,172,263.8100007,7,3
1121902,1178,144674,35-39,F,16,682143,114,177.1099993,6,2
1121903,1178,144674,35-39,F,16,1247717,222,343.4199994,11,4
1121904,1178,144674,35-39,F,16,146406,23,33.22999942,1,1
1121905,1178,144674,35-39,F,16,905699,161,234.6599982,4,1
1121906,1178,144674,35-39,F,16,1184580,194,297.8299981,14,3
1121907,1178,144675,35-39,F,18,98057,20,31.00999963,1,1
1121917,1178,144676,35-39,F,19,238735,56,84.65999889,4,1
1121918,1178,144676,35-39,F,19,320657,77,115.8800026,2,0
1121925,1178,144678,35-39,F,21,244074,57,84.51000023,4,2
1121928,1178,144678,35-39,F,21,39146,8,13.05999959,1,0
1121931,1178,144679,35-39,F,22,78468,15,23.64999962,1,0
1121933,1178,144679,35-39,F,22,325653,63,89.35000026,2,0
1121935,1178,144679,35-39,F,22,66277,12,17.30000019,1,0
1121936,1178,144679,35-39,F,22,93002,16,23.33999968,1,0
1121944,1178,144681,35-39,F,24,109723,27,40.9600004,1,0
1121948,1178,144681,35-39,F,24,118941,35,50.11000001,4,1
1121949,1178,144682,35-39,F,25,221576,47,66.79000068,6,1
1121953,1178,144682,35-39,F,25,8341,1,1.639999986,1,0
1121954,1178,144682,35-39,F,25,120335,26,36.2299993,2,0
1121955,1178,144683,35-39,F,26,182098,40,62.86999989,1,1
1121956,1178,144683,35-39,F,26,227473,52,71.58000052,1,1
1121962,1178,144684,35-39,F,27,1050947,230,350.5099957,6,1
1121963,1178,144684,35-39,F,27,720859,162,213.6899986,13,5
1121971,1178,144685,35-39,F,28,41111,8,10.96000016,1,0
1121973,1178,144686,35-39,F,29,148616,25,37.39999962,6,4
1121976,1178,144686,35-39,F,29,707260,135,210.8200028,13,6
1121977,1178,144686,35-39,F,29,139596,26,42.41000032,1,1
1121983,1178,144687,35-39,F,30,105399,22,33.19999933,2,0
1121994,1178,144689,35-39,F,32,222378,50,72.91000104,1,0
1122003,1178,144691,35-39,F,63,975792,210,293.8800011,10,4
1122004,1178,144691,35-39,F,63,579150,125,167.0499997,5,1
